Text,Predicted,Target
"Seller Issue This costume was shorter than appears on the model and ran small for the size. The leaves were a bit too fake, plastic ivy at the look more realistic.",Delivery and Return Issue,Product Authenticity Issue
Seller Issue Bought these for the few times I wear dress pants. After 5 times fake leather is all cut up. Just can not buy anything cheap that lasts at all. Why must I pay so much for a simply item like a belt? I mean really.,Product Authenticity Issue,Product Authenticity Issue
"Seller Issue Crappy, fake condor hat. Don't buy it.",Product Authenticity Issue,Product Authenticity Issue
"Seller Issue Absolutely fake. I wouldn't mind as they are better knockoffs than other brands, however, 80.00 is outrageous for fake glasses. I do have my original pair in the same color and everything, including the weight, is not similar. I thought I was getting a deal on real Carrera, but I was just being nave :(",Product Authenticity Issue,Product Authenticity Issue
Seller Issue It's a fake and no original Carrera. Never ever!,Product Authenticity Issue,Product Authenticity Issue
Seller Issue it looks gud but cant find it on the bulova website!! so i assume its a fake bulova :( which i am really disappointed about cause i spent 250$ for a fake watch !!,Product Authenticity Issue,Product Authenticity Issue
"Seller Issue if there is anything less than one star i would have give it. I deliberately did not give a feedback until after some months of using this watch. When i saw it online i like it physical appearance but the functionality is fake. its stop working and i didn't know I've being carrying about a dommy wrist watch. Armitron Men's 204507DBSV Stainless Steel. unlike my Kenneth cole watch, i've being using it for passt 4yrs, no issues not even battery issue, except the fact that it crack which from me.",Product Authenticity Issue,Product Authenticity Issue
Seller Issue Don't buy there fake .,Product Authenticity Issue,Product Authenticity Issue
Seller Issue It's a fake! Do not buy this garbage.,Product Authenticity Issue,Product Authenticity Issue
"Seller Issue THese have to be the cheapest fakey material out of all sunglasses. There so cheap the flop close and the look aweful, they should only be used as a prop. HORRIBLE CHEAP PRODUCT!! DO NOT BUY!!!",Product Authenticity Issue,Product Authenticity Issue
Seller Issue The bra I received is not a real Hanes bra. It has a fake tag that says Made in Honduras and the quality of fabric is poor. Beware.,Product Authenticity Issue,Product Authenticity Issue
"Seller Issue Cheap, fake knockoffs",Product Authenticity Issue,Product Authenticity Issue
"Seller Issue I walk everyday and the extra rubber helps save my knees...on this order and the previous 2 orders, which I returned because the gray rubber part was not all the way from one side to the other...just a fake looking..after just a few wears, that gray part start to come apart. I put the shoe on it just went FLAT..no rubber at all...I still have that shoe...I just will not pay another 200 plus dollar.....I will try another vendor..I have been buying these shoes from Amazon since 2008, never had any problem until now...I will still buy from Amazon, just not this vendor.",Product Authenticity Issue,Product Authenticity Issue
Seller Issue These are fake knock offs. I own a pair of patent beige flats in the same size I ordered so I can compare easily. These are not comfortable and they cut into my heels. Fake!!,Product Authenticity Issue,Product Authenticity Issue
Seller Issue I was so disappointed with this necklace..So lightweight like a fake doll's neckplace..It was overpriced and I wouldn't recommend it even at its sale price of $29..,Product Authenticity Issue,Product Authenticity Issue
"Seller Issue Very disappointed this is a fake scrub top tailored to look like greys anatomy but is fake. When I tried it didn't felt right, I ordered large which fits me perfect on my other greys anatomy scrub tops when this one felt smaller I compared side by side with one I bought from the uniform store and immediately realized this is a imitation.",Product Authenticity Issue,Product Authenticity Issue
"Seller Issue This necklace looks so cheap - the pearls are so small and light that the knots between the pearls don't allow for it to fall flat.For the price, you are better off buying fake pearls!",Product Authenticity Issue,Product Authenticity Issue
Seller Issue these are fake... cheap knock offs don't buy them,Product Authenticity Issue,Product Authenticity Issue
Seller Issue These are fakes. I thought they felt weird and they don't have the RB on the nose piece like my other RayBans have. They feel shoddy too.,Product Authenticity Issue,Product Authenticity Issue
"Seller Issue This is definitely a scam. Very very very very good fakes. I paid attention to every little detail and it even fooled some people that work at a sunglass store. But I got a second and third opinion and they were surprised by what good of fakes these were. First of all the clear coat over the back of the arms that rests on your ears is a different shape from the real Ray-Bans. Look it up online to identify what I am talking about. The plastic part goes out to the right a little too much. Also, the etched RB that this company claims to have on the sunglasses is not etched correctly. Go to any store and compare them and you will see that the RB is eched on the inside of the lens not on the outside of the lens. You shouldn't even be able to feel it if they are real. We paid close attention to the shade of the blue and it is different from the real RayBans. The gold frame is lighter than the real pair and the writing on the side should have a space between the RB and the 3025. It should not read RB3025 which this fake pair does. Real Ray Bans have a different font and are more legible because it is written bigger and the code should read RB 3025 with a SPACE between. Very minor things to look out for. Don't let them get passed you. Pay close attention to the details because they're very hard to notice. They really have a lot of people fooled. The employees and I dissected these sunglasses and the shape of the lens is also very slightly different. Also, in department stores like Nordstrom and all the other places that sell the real product you shouldn't receive a fake tag. Normally it just comes in the box and the box has a bar code label attached on the side of the silver RayBan box. On this package, it is sealed very well on bubble wrap and labeled with a bar code over the bubble wrap instead and the label is most definitely not made by RayBan. Just so everyone is aware you can pay a small fee to get those made to make your business look legitimate. Also, they're so slick that they also customized a sticker to fake their authenticity because things like that fool a lot of people. The sticker reads that if the box or sticker appears unopened, it is because the package was opened during shipment. Trying, of course, to impersonate a legitimate and trustworthy business and trying make it seem like they're looking out, but really if they were then they would have delivered the real deal. This is not a reliable company at all and it's actually a huge deal because they are claiming to be something they are not. Last but not least, the one thing that got me up to go check a second and third time is on the clear part that sits over the nose the RB logo is not supposed to be the same on both nose pieces. One is supposed to be upside down and the other is supposed to sit forward so that it is legible. It's just something that you have to pay attention to because RayBans rarely have manufacture issues. These are definitely definitely definitely fake. Very good ones. But still fake. Stay far away from these sellers. They're nothing but a scam. Wonder if they know it's illegal? ? ?",Product Authenticity Issue,Product Authenticity Issue
"Seller Issue Although they may look pretty authentic, they are not. Nose piece fell off first day, took them to an authentic dealer for repair, they verified that these were fake.",Product Authenticity Issue,Product Authenticity Issue
"Seller Issue Watch out, these are very clever fakes. They got me, don't let them get you too. If you go ahead and buy them anyways. Flick an authentic pair of Ray-Ban lens with your fingernail and listen to the sound. Then flick these lens and listen. You'll notice a distinct difference. I have 5 pairs of Ray-Bans I bought from ray-ban.com and they all have the same sound. The 2 pairs I bought from Hong Kong sound the same as each other, but different than the other 5 pairs I have. It's because they use a low quality lens and the color wears off. Please don't buy and support scammers.",Product Authenticity Issue,Product Authenticity Issue
"Seller Issue Authentic or fake, I don't know; but I can definitely say the New Wayfarers I bought from Sunglass Express are of lower quality than the pair I bought in 2011.Yes, the frames squeak and creak. Even though polarized, the light green G-15 lenses offer little protection from the sunshine. I found myself squinting through my $120 Ray-Bans. That's bogus. I was almost tempted to pop out the lenses and make sure they weren't polycarbonate plastic instead of the crystal green (glass) lenses I had been promised.Strangely enough, the RB2132 Ray-Ban New Wayfarer I bought from Sunglass Express is almost a carbon-copy of the $39.99 Kirkland Abruzzo frame offered by Costco. The only difference between the two is that the Ray-Ban front is flat across, and the bridge of the Kirkland frame is raised.I returned my RB2132s to Sunglass Express. I kept the Costco frames.",Product Authenticity Issue,Product Authenticity Issue
Seller Issue They're fake. I returned them. Went to sunglasses hut. Got real ones. Road off into the sunset on a unicorn wearing sunglasses I was certain had 100% UV protection.,Product Authenticity Issue,Product Authenticity Issue
"Seller Issue I bought this product to replace my avaitors, and immediately on arrival I could sense that something was off. The frame creaked, the lens moved around in the frame. I was not sure if the pair was a fake! So, I go ahead and return it for a replacement. Guess what!!! the replacement had the exact same problems. Returned that as well. My guess is that the whole batch is defective. I expected better QC from Amazon before it put it out for sale.",Product Authenticity Issue,Product Authenticity Issue
"Seller Issue This item was a fake! I'm pretty bummed out as I purchased this with the assurance that the item Ships from and sold by Amazon.com. when I ordered it. I was invoiced by Amazon LLC/ Amazon Export Sales Inc. Upon reviewing this in greater details, I realized that this is a really good fake. Passes most tests, but 3 things gave it away: the case, the plastic-like finish of the gold, and the upside down R-B logo on the nose pad. Amazon says this item is now Item Under Review as being not the way it was described - a clear tell all that this item is a fake. P.S. Amazon is showing that this item is being sold by MagentaShop obviously with absolutely no needback.",Product Authenticity Issue,Product Authenticity Issue
